street,city,state,zip,country,Name,Location,PostalCode,Addess,InUseSince,Rating,Potential.Rating,Area,Energy.Savings,CO2.Savings,BGN.Savings,Investment,Payback,Building.Type1,Building.Type2,Lat,Lng,region
Ulitsa Zvezda 18,Plovdiv,Plovdiv,4001,Bulgaria,"МЖС-ПЛОВДИВ, ""ЗВЕЗДА"" 18-28",гр.ПЛОВДИВ,4000,ул. ЗВЕЗДА № 18-28,1991,E,C,8789,216229,133.28,46717,642912,13.7618,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1322059631347,24.7058353424072,SC
Ulitsa Marin Drinov 1,Dobrich,Dobrich,9300,Bulgaria,"ЖИЛ. СГРАДА-ДОБРИЧ, УЛ. ""МАРИН ДРИНОВ"" 1A",гр.ДОБРИЧ,9300,ул.МАРИН ДРИНОВ № 1 вх.А,1990,G,B,1657,172546,111.7,25350,194540.2,7.6741,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.5700340270996,27.8274688720703,NE
Ulitsa Musala,Sofia,Sofia-City,1870,Bulgaria,"ОДЗ №44 ""КАЛИНА"" - БОТУНЕЦ",гр.СОФИЯ,1000,КВ. БОТУНЕЦ,1964,F,B,1184,122007,249.7,21961,95052.6,4.3282,Детско заведение (градини и ясли),2,42.7377891540527,23.5140800476074,SW
Ulitsa Georgi Kyumyurev,Stara Zagora,Stara Zagora,6000,Bulgaria,МЖС,гр.СТАРА ЗАГОРА,6000,"УЛ. АВГУСТА ТРАЯНА # 31, ВХ. 0, А""",1985,D,C,4156.98,77100,44.5,12540,164092.2,13.0855,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4328498840332,25.6291389465332,SE
Kvartal Hristo Botev 40,Dimitrovgrad,Haskovo,6400,Bulgaria,МЖС,гр.ДИМИТРОВГРАД,6400,бул.Христо Ботев N 40,1971,E,C,6498,378168,231.36,89350,637326,7.1329,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0520591735839,25.581428527832,SC
Ulitsa Tsar Ivan Shishman 35,Dupnitsa,Kyustendil,2603,Bulgaria,МЖС - ДУПНИЦА,гр.ДУПНИЦА,2600,ул.ИВАН ШИШМАН 31,1996,F,C,1542.14,96600,59,13301,161405,12.1348,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.2524948120117,23.1256484985351,SW
Ulitsa Midzhur 16,Sofia,Sofia-City,1164,Bulgaria,МЖС  СОФИЯ,гр.СОФИЯ,1000,УЛИЦА МИДЖУР #16,1951,F,B,1100.64,82923,50.67,13250,95304,7.1927,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6799354553222,23.3290119171142,SW
Ulitsa 6-ta,Dobrichka,Dobrich,9350,Bulgaria,"МЖС-ВАРНА, ""ВЪЗРАЖДАНЕ"" БЛ. 40",гр.ВАРНА,9000,"ж.к. ВЪЗРАЖДАНЕ, Бл.40, Вх.1 и 2",1981,G,C,4448.8,427260,298.54,54780,457455,8.3507,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.4286231994628,27.8222217559814,NE
Ulitsa D-r Sayko Saev,Lovech,Lovech,5501,Bulgaria,АДМИН. СГРАДА НА ИО - ЛОВЕЧ,гр.ЛОВЕЧ,5500,УЛ. Д-Р СЪЙКО СЪЕВ 56,1974,B,B,3606,163317,101.01,34927.86,260918,7.4701,Сгради за административно обслужване,1,43.13179397583,24.7026100158691,NW
House Number and Street Not Found,Haskovo,Haskovo,6300,Bulgaria,МЖС,гр.ХАСКОВО,6300,"ЖК ""Орфей"", блок N 29",1980,F,C,6771.16,475399,288.13,132470,692107,5.2246,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9440650939941,25.5603885650634,SC
House Number and Street Not Found,Glavinitsa,Silistra,7631,Bulgaria,ЦДГ МИР - с.КАЛУГЕРЕНЕ,с.КАЛУГЕРЕНЕ,7631,с.КАЛУГЕРЕНЕ,1960,D,C,329,4655.62,8.4211,999.6,7614.05,7.617,Детско заведение (градини и ясли),2,43.914077758789,26.8603744506835,NC
zhk Orfey 11,Haskovo,Haskovo,6300,Bulgaria,МЖС,гр.ХАСКОВО,6300,ж.к. ОРФЕЙ бл. 26,1974,F,C,6974.87,485674,293.24,134972,816075,6.0462,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9474258422851,25.5577220916748,SC
zhk Hale 2,Yambol,Yambol,8602,Bulgaria,МЖС,гр.ЯМБОЛ,8600,ж.к.ХАЛЕ бл. 2,1974,E,C,10349.64,457445,275.55,76900,815944,10.6104,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4734573364257,26.5281906127929,SE
Ulitsa Stefan Stambolov 9,Botevgrad,Sofia,2140,Bulgaria,"МЖС-БОТЕВГРАД, ""СТЕФАН СТАМБОЛОВ"" 2, 4",гр.БОТЕВГРАД,2140,"ул. СТЕФАН СТАМБОЛОВ №2, №4",1984,F,C,3637.48,338443,56.48,21130.98,290637.88,13.7541,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.9047126770019,23.7877559661865,SW
Bulevard Nikola Vaptsarov 45,Plovdiv,Plovdiv,4004,Bulgaria,МЖС,гр.ПЛОВДИВ,4000,"бул. ""НИКОЛА ВАПЦАРОВ"" #45,47,49,51,53,55",1982,F,C,12422,942480,569.83,149441,883152.5,5.9097,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1227836608886,24.7451419830322,SC
Ulitsa Gen. Gurko 100,Stara Zagora,Stara Zagora,6000,Bulgaria,"МЖС-СТАРА ЗАГОРА, ""ГЕН. ГУРКО"" 100",гр.СТАРА ЗАГОРА,6000,ул. ГЕНЕРАЛ ГУРКО № 100 вх.0 ет.5 ап.13,1982,E,C,11692.03,342552,196.94,63600,571741,8.9896,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4245338439941,25.6374855041503,SE
Ulitsa Vasil Levski 28,Pavel banya,Stara Zagora,6155,Bulgaria,"СБР-НК, ПАВЕЛ БАНЯ-БАЗА 1",гр.ПАВЕЛ БАНЯ,6155,гр.ПАВЕЛ БАНЯ,1956,C,B,9488,15514,12.71,3211,8832,2.7505,"Здравеопазване (болници, поликлиники и др.)",7,42.5953063964843,25.2061653137207,SE
Ulitsa Ivan Bogorov,Burgas,Burgas,8001,Bulgaria,МЖС С ТЪРГ. ОБЕКТИ И ОФИСИ-ЖИЛИЩНА-БУРГАС,гр.БУРГАС,8000,ул.ИВАН БОГОРОВ № 20,1986,F,C,15820,944693,564.43,107987,1092429,10.1163,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.5016288757324,27.4751033782958,SE
Ulitsa Buzludzha 85,Kyustendil,Kyustendil,2504,Bulgaria,МЖС,гр.КЮСТЕНДИЛ,2500,"ул.БУЗЛУДЖА,#85",1967,F,C,8081,505453.96,314.18,75803.15,544607.35,7.1844,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.2903442382812,22.6975955963134,SW
House Number and Street Not Found,Varna,Varna,9004,Bulgaria,"МЖС-ВАРНА, ""ВЪЗРАЖДАНЕ"" БЛ. 59",гр.ВАРНА,9000,ж.к. ВЪЗРАЖДАНЕ бл. 59,1978,G,C,5464.11,541209,322.79,68899,494090,7.1712,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.2143821716308,27.9118785858154,NE
Bulevard Balgaria 136,Plovdiv,Plovdiv,4003,Bulgaria,"СОУ ""П. КР. ЯВОРОВ""",гр.ПЛОВДИВ,4000,БУЛ. БЪЛГАРИЯ 136,1936,C,B,6058,272236.84,90.08,24720,297372.9,12.0296,"Образователни (училища, колежи и университети)",6,42.159870147705,24.741865158081,SC
Ulitsa Dobrudzha 21,Haskovo,Haskovo,6300,Bulgaria,"ЖИЛ. СГР.-ХАСКОВО, УЛ. ""ДОБРУДЖА"" 21-23, ВХ. А И Б",гр.ХАСКОВО,6300,ул. ДОБРУДЖА № 23 вх.Б ап.18,1981,D,B,3957.61,140815,83.865,21371.4,117781.69,5.5111,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9298973083496,25.5524711608886,SC
House Number and Street Not Found,Yambol,Yambol,8602,Bulgaria,МЖС,гр.ЯМБОЛ,8600,ж.к. ХАЛЕ бл. 5,1978,E,C,17559,854324,508.11,142350,1437852,10.1008,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4712257385253,26.5316734313964,SE
Ulitsa Stara planina,Haskovo,Haskovo,6300,Bulgaria,МЖС,гр.ХАСКОВО,6300,"ул.""Стара планина"" #53-55",1977,E,C,6262.26,255404,154.47,38991,398959,10.232,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9390830993652,25.545949935913,SC
House Number and Street Not Found,Sliven,Sliven,8806,Bulgaria,МЖС БЛ 38 КВ ДРУЖБА СЛИВЕН,гр.СЛИВЕН,8800,кв. ДРУЖБА бл. 38 вх.Б ап.8,1984,G,C,5640,674045,421.36,108120,437326,4.0448,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6757278442382,26.3528404235839,SE
Ulitsa Oborishte 22,Burgas,Burgas,8000,Bulgaria,"ЖИЛ. СГРАДА, БУРГАС",гр.БУРГАС,8000,УЛ. ОБОРИЩЕ-22,1961,E,C,911.8,50302,25,6290,38259.53,6.0825,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4959106445312,27.4786071777343,SE
zhk P. R. Slaveykov,Burgas,Burgas,8010,Bulgaria,МЖС 38,гр.БУРГАС,8000,ж.к.СЛАВЕЙКОВ бл.38,1971,F,C,15709,993276,637.43,224847,1746855,7.769,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.5235290527343,27.4479522705078,SE
Ulitsa Gen. Skobelev 26,Lovech,Lovech,5500,Bulgaria,МЖС- ул.Ген.Скобелев 26,гр.ЛОВЕЧ,5500,ул.Ген.Скобелев 26,1972,G,C,1690.45,181341,111.82,63718,253750,3.9823,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.139419555664,24.7136287689208,NW
House Number and Street Not Found,Veliko Tarnovo,Veliko Tarnovo,5006,Bulgaria,"МЖС, ТЪРНОВО, УЛ. КРАКОВ-2",гр.ВЕЛИКО ТЪРНОВО,5000,ул. КРАКОВ № 2,1973,F,C,4368.14,295235,174.77,44154,223633,5.0648,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.0778846740722,25.6111030578613,NC
Bulevard Simeon Veliki,Shumen,Shumen,9704,Bulgaria,"МЖС,бул.СИМЕОН ВЕЛИКИ № 67, ВХ.1,2,3",гр.ШУМЕН,9700,"бул.СИМЕОН ВЕЛИКИ № 67, ВХ.1,2,3",1992,G,C,6403,459676,273.12,77192,483557,6.2643,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.2773818969726,26.9540538787841,NE
Ulitsa Srebrenya 32,Byala Slatina,Vratsa,3201,Bulgaria,МЖС,гр.БЯЛА СЛАТИНА,3200,"ж.к.СРЕБРЕНЯ, блок 2",1983,F,C,3478,264259,157.52,32771,344227,10.504,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.4742927551269,23.9378814697265,NW
House Number and Street Not Found,Haskovo,Haskovo,6300,Bulgaria,МЖС -  БЛ.36А,гр.ХАСКОВО,6300,ж.к. ОРФЕЙ бл. 36А,1982,F,C,6886,420491,247.79,114800,771318,6.7187,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9483604431152,25.5580806732177,SC
zhk Teva 81,Pernik,Pernik,2309,Bulgaria,МЖС,гр.ПЕРНИК,2300,ТЕВА БЛ.80,1988,E,C,2077.6,133089,78.19,20649,121157,5.8674,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6154823303222,23.0649471282958,SW
Ulitsa Tsar Osvoboditel,Lovech,Lovech,5500,Bulgaria,"МЖС-ЛОВЕЧ, ""ЦАР ОСВОБОДИТЕЛ"" 38",гр.ЛОВЕЧ,5500,ул.ЦАР ОСВОБОДИТЕЛ № 38,1977,G,C,4467,400886,235.51,87907,403694,4.5922,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.1399192810058,24.7193279266357,NW
Ulitsa Dragoman 31,Haskovo,Haskovo,6300,Bulgaria,МЖС - ХАСКОВО,гр.ХАСКОВО,6300,ул.ДРАГОМАН N 31-33,1975,F,B,1896.8,110908,65,16703,106697,6.3878,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9282417297363,25.5618438720703,SC
zhk Elenovo-1,Blagoevgrad,Blagoevgrad,2704,Bulgaria,МЖС - БЛАГОЕВГРАД,гр.БЛАГОЕВГРАД,2700,"ж.к. ""Еленово"" бл. 40""",1981,E,C,5226,194359,91.7,50047,479135,9.5737,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0034561157226,23.1071338653564,SW
Ulitsa Zagore 16,Stara Zagora,Stara Zagora,6006,Bulgaria,"МЖС-НОВА ЗАГОРА, ""ЗАГОРЕ"" БЛ. 16",гр.НОВА ЗАГОРА,8900,ж.к. ЗАГОРЕ бл. 16,1989,G,C,6436,600254,351.7,69265,742883,10.7252,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.3975715637207,25.6473922729492,SE
Ulitsa Profesor G. Bradistilov,Sofia,Sofia-City,1700,Bulgaria,ТЕХН. УНИВЕРСИТЕТ - СОФИЯ -БЛОК 1,гр.СОФИЯ,1000,УЛ. КЛ. ОХРИДСКИ 8,1962,D,C,24651,399977,254.4,72467,321967,4.4429,"Образователни (училища, колежи и университети)",6,42.6572151184082,23.3559055328369,SW
zhk Zornitsa 9,Burgas,Burgas,8018,Bulgaria,МЖС БЛ26,гр.БУРГАС,8000,"ж.к.ЗОРНИЦА бл. 26 вх.А,Б",1979,F,C,3826.67,281717.12,167.12,41153.09,245364.97,5.9622,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.5152854919433,27.4649047851562,SE
Ulitsa Georgi Minkov,Burgas,Burgas,8005,Bulgaria,МЖС,гр.БУРГАС,8000,ж.к.СЛАВЕЙКОВ бл. 33,1971,F,C,15709,999473,632.68,223059.3,1693914.1,7.594,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.516990661621,27.4595336914062,SE
zhk Yugoiztok 20,Dobrich,Dobrich,9300,Bulgaria,"МЖС, ДОБРИЧ, ул.ДУНАВ № 20",гр.ДОБРИЧ,9300,ул.ДУНАВ № 20,1973,G,C,11750,1322308,779.67,163880,1269879,7.7488,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.5639305114746,27.8383769989013,NE
Ulitsa Gotse Delchev,Gotse Delchev,Blagoevgrad,2920,Bulgaria,"ЖИЛ. СГР.-ГОЦЕ ДЕЛЧЕВ, УЛ. ""Г. ДЕЛЧЕВ"" 32",гр.ГОЦЕ ДЕЛЧЕВ,2900,ул. ГОЦЕ ДЕЛЧЕВ № 32,1966,G,C,1533.55,114280,66,14194,173662,12.2348,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.5545654296875,23.7444381713867,SW
Ulitsa Zahari Stoyanov 19,Dobrich,Dobrich,9300,Bulgaria,"ЖИЛ. СГРАДА-ДОБРИЧ, УЛ. ""З. СТОЯНОВ"" 19",гр.ДОБРИЧ,9300,ул.ЗАХАРИ СТОЯНОВ № 19,1963,G,C,1100.26,148757,90.6,20740,66925.06,3.2268,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.5645942687988,27.8259105682373,NE
Ulitsa Vrah Buzludzha 15,Petrich,Blagoevgrad,2850,Bulgaria,МЖС - ПЕТРИЧ,гр.ПЕТРИЧ,2850,жк Цар Самуил бл.18,1985,F,C,1272.9,97940,56.7,13224,171661,12.981,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.3893165588378,23.1997032165527,SW
zhk P. R. Slaveykov 37,Burgas,Burgas,8010,Bulgaria,МЖС,гр.БУРГАС,8000,ж.к.СЛАВЕЙКОВ бл. 37,1973,F,C,15709,964284,607.99,214363.18,1664509.08,7.7649,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.5232505798339,27.447395324707,SE
Ulitsa Ekzarh Yosif I,Dobrich,Dobrich,9300,Bulgaria,МЖС,гр.ДОБРИЧ,9300,ул.МАРИН ДРИНОВ № 1 вх.Б,1987,G,C,1581,243394,148.65,30490,226159,7.4174,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.5700340270996,27.8273696899414,NE
Ulitsa Vitosha 14,Botevgrad,Sofia,2140,Bulgaria,"МЖС-БОТЕВГРАД, ""ВИТОША"" 2",гр.БОТЕВГРАД,2140,"ул. ВИТОША № 2 вх.А,Б",1984,G,C,2713.1,258689.89,66.24,20005.94,262661.07,13.1291,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.9080352783203,23.7863636016845,SW
Kvartal Tri Chuchura-Yug 104,Stara Zagora,Stara Zagora,6010,Bulgaria,МЖС,гр.СТАРА ЗАГОРА,6000,"КВ. ТРИ ЧУЧУРА-ЮГ, БЛ. #104,",1985,E,C,7390.76,243254,133.32,43960,391081,8.8962,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4123573303222,25.6088504791259,SE
Ulitsa Radost,Kostenets,Sofia,2035,Bulgaria,"СБР-НК, ФИЛИАЛ МОМИН ПРОХОД",х.МОМИН ПРОХОД,2035,х.МОМИН ПРОХОД,1969,C,C,9676,81373,66.64,20343,159654,7.8481,"Здравеопазване (болници, поликлиники и др.)",7,42.3309020996093,23.8700504302978,SW
Ulitsa Han Kardam 5,Asenovgrad,Plovdiv,4232,Bulgaria,МЖС,гр.АСЕНОВГРАД,4230,"ул. ""ХАН КАРДАМ"" 1,3,5",1981,G,C,6038.35,928434,534.64,165535,1011172.8,6.1085,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0209884643554,24.8576908111572,SC
Ulitsa Bratya Bakston,Plovdiv,Plovdiv,4030,Bulgaria,"ОП ""ЧИСТОТА""",гр.ПЛОВДИВ,4000,"УЛ. ""ДАМЕ ГРУЕВ"" № 64А",1939,F,C,606,171791,218.16,23170.88,104591,4.5138,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,42.1296691894531,24.7522945404052,SC
House Number and Street Not Found,Haskovo,Haskovo,6300,Bulgaria,"МЖС-ХАСКОВО, ""ОРФЕЙ"" 1А",гр.ХАСКОВО,6300,"ж.к. ОРФЕЙ бл. 1А, вх.А,Б,В",1973,F,C,5073.04,308739,177.37,82762,543531,6.5673,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9468955993652,25.5586280822753,SC
House Number and Street Not Found,Dobrich,Dobrich,9304,Bulgaria,СТРЕЛБИЩЕН КОМПЛЕКС,гр.ДОБРИЧ,9300,УЛ. КАЛИАКРА 53,1981,F,B,1018,229616,471,87305,194954,2.233,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,43.5769233703613,27.8159198760986,NE
House Number and Street Not Found,Kazanlak,Stara Zagora,6103,Bulgaria,МЖС,гр.КАЗАНЛЪК,6100,УЛ. ВЪЗРАЖДАНЕ #6,1985,G,C,7311,460866,273.25,63551,559310,8.8009,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6239128112792,25.3803920745849,SE
Ulitsa Knyaz Boris I 164,Sofia,Sofia-City,1000,Bulgaria,МНОГОФАМИЛНА ЖИЛ. СГРАДА-СОФИЯ,гр.СОФИЯ,1000,УЛ. КНЯЗ БОРИС ПЪРВИ №162,1934,D,C,1400,26386,12.08,4464,47732,10.6926,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.7012977600097,23.3204193115234,SW
Ulitsa Gen. Vladimir Vazov 8,Pleven,Pleven,5804,Bulgaria,МЖС,гр.ПЛЕВЕН,5800,ГЕНЕРАЛ ВЛАДИМИР ВАЗОВ # 10,1986,G,C,4419,546830,328.44,72086,509096,7.0623,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.4016647338867,24.6066665649414,NW
Ulitsa General Kiselov 39,Svishtov,Veliko Tarnovo,5250,Bulgaria,"ЖИЛИЩНА СГР.-СВИЩОВ, БЛ. ""РАДЕЦКИ"" 3",гр.СВИЩОВ,5250,ул. ГЕНЕРАЛ КИСЕЛОВ № 2 бл. РАДЕЦКИ-3 вх.Б,1971,G,C,1138,88431,50.47,12851.98,80010.51,6.2255,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.6191520690917,25.3501605987548,NC
zhk P. R. Slaveykov 63,Burgas,Burgas,8010,Bulgaria,МЖС,гр.БУРГАС,8000,ж.к.СЛАВЕЙКОВ бл. 63,1976,F,C,15709,992817,617.97,218240,1738294,7.965,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.5218772888183,27.4446792602539,SE
Ulitsa General Kolev 11,Plovdiv,Plovdiv,4002,Bulgaria,"МЖС-ПЛОВДИВ, ""ГЕН. КОЛЕВ"" 11, 11А, 13, 13А, 15",гр.ПЛОВДИВ,4000,"ул. ГЕН. КОЛЕВ 11,11А,13,13А,15",1969,G,C,8178.8,952367,564.542,274994,987200,3.5898,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1366806030273,24.7224102020263,SC
Ulitsa Zagore 7,Stara Zagora,Stara Zagora,6006,Bulgaria,"МЖС-НОВА ЗАГОРА, ""ЗАГОРЕ"" БЛ. 9",гр.НОВА ЗАГОРА,8900,жк.Загоре бл. 9,1979,G,C,6102,560294,284.5,71578,794350,11.0976,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.3981285095214,25.6467475891113,SE
Ulitsa Patriarh Evtimiy 8,Nova Zagora,Sliven,8900,Bulgaria,"МЖС-НОВА ЗАГОРА, ""ЗАГОРЕ"" БЛ. 10",гр.НОВА ЗАГОРА,8900,жк. Загоре бл. 10 вх.А ет.8 ап.24,1979,G,C,5709.6,462133,263.07,54740,682326,12.4648,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.501609802246,26.0065441131591,SE
Ulitsa Aleksi Denev 18,Karnobat,Burgas,8400,Bulgaria,МЖС - ТЪРГ. ЧАСТ,гр.КАРНОБАТ,8400,"ул.АЛЕКСИ ДЕНЕВ"" # 18",1969,C,B,1735.55,10740,9.2,2792,25656,9.1891,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.6485328674316,26.9869174957275,SE
Ulitsa Poruchik Boyan Botev,Plovdiv,Plovdiv,4023,Bulgaria,"ЖИЛ. СГРАДА-ПЛОВДИВ, ""ТРАКИЯ"", БЛ. 237, Б",гр.ПЛОВДИВ,4000,жк. ТРАКИЯ бл. 237 вх.Б,1990,E,C,1920.69,63447,36.01,8786.6,82061.46,9.3393,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1333999633789,24.7755279541015,SC
Bulevard Mito Orozov 55,Vratsa,Vratsa,3000,Bulgaria,АДМИН-Я НА ОПИТНА СТАНЦИЯ ПО БУБАРСТВО И ЗЕМЕДЕЛИЕ,гр.ВРАЦА,3000,УЛ. МИТО ОРОЗОВ-24,1971,D,C,768,54213,36.2,11930,54526,4.5704,Сгради за административно обслужване,1,43.2138023376464,23.5556316375732,NW
Bulevard Simeon Veliki,Shumen,Shumen,9704,Bulgaria,ЖИЛ. СГРАДА - ШУМЕН,гр.ШУМЕН,9700,БУЛ. СИМЕОН ВЕЛИКИ 44 ВХ.1 И ВХ.2,1963,G,C,898.78,145680,82.55,21120,141146,6.683,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.2773933410644,26.9541149139404,NE
House Number and Street Not Found,Varna,Varna,9007,Bulgaria,"ХОТЕЛ ""ТИНТЯВА""",гр.ВАРНА,9000,ЗЛАТНИ ПЯСЪЦИ,1969,D,C,6712,34241,23.4,7396,45355,6.1323,Хотели и ресторанти,8,43.2845268249511,28.0431213378906,NE
Ulitsa Todor Aleksandrov 74,Blagoevgrad,Blagoevgrad,2700,Bulgaria,"ЖИЛ. СГР.-БЛАГОЕВГРАД, ""СЪГЛАСИЕ-3""",гр.БЛАГОЕВГРАД,2700,ул. ТОДОР АЛЕКСАНДРОВ № 74-В,1967,F,C,1678.6,80420,46.6,10645,156677,14.7183,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0158042907714,23.0913829803466,SW
Ulitsa Vasil Levski 10,Stara Zagora,Stara Zagora,6004,Bulgaria,МЖС,гр.СТАРА ЗАГОРА,6000,УЛ.ВАСИЛ ЛЕВСКИ #10,1986,D,C,8123.5,228997,137.06,36300,370918,10.2181,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4280128479003,25.6188449859619,SE
Ulitsa M. Begov 2,Sofia,Sofia-City,1151,Bulgaria,"ЦДГ ""РАДОСТ""",с.БЕГОВО,4166,"УЛ. ""2"", № 36А",1984,D,D,1129,4698,9.6,1076,3584,3.3308,Детско заведение (градини и ясли),2,42.6048622131347,23.4948692321777,SW
House Number and Street Not Found,Sliven,Sliven,8800,Bulgaria,"МБАЛ ""Д-р СЕЛИМИНСКИ"" - ДЕТСКО ОТДЕЛ.  - СЛИВЕН",гр.СЛИВЕН,8800,БУЛ. ХР. БОТЕВ 1,1971,C,B,1072,28796,16.19,4128,13633,3.3025,"Здравеопазване (болници, поликлиники и др.)",7,42.6757926940917,26.3250007629394,SE
Ulitsa Timok 22,Haskovo,Haskovo,6300,Bulgaria,МЖС,гр.ХАСКОВО,6300,"ул.""Дунав"" #15",1986,E,C,4644,258727,145.7,34759.13,310149.9,8.9228,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.9397583007812,25.5528335571289,SC
Ulitsa Ivan Vazov 24,Kazanlak,Stara Zagora,6100,Bulgaria,"СБР-НК , ФИЛИАЛ  КЮСТЕНДИЛ",гр.КЮСТЕНДИЛ,2500,УЛ. ЦАР СИМЕОН 28,1967,C,C,6312,29949,24.53,7667,60031,7.8297,"Здравеопазване (болници, поликлиники и др.)",7,42.6176300048828,25.3890514373779,SE
zhk Alen mak 38,Blagoevgrad,Blagoevgrad,2704,Bulgaria,"МЖС-БЛАГОЕВГРАД, ""АЛЕН МАК"" 38",гр.БЛАГОЕВГРАД,2700,жк АЛЕН МАК бл. 38,1986,F,C,5351.4,386714,254.17,122930,807073,6.5653,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0008316040039,23.0957298278808,SW
